Left_Arm_Joint_1,Left_Arm_Joint_2,Left_Arm_Joint_3,Left_Arm_Joint_4,Left_Arm_Joint_5,Left_Arm_Joint_6,Left_Arm_Joint_7,Right_Arm_Joint_1,Right_Arm_Joint_2,Right_Arm_Joint_3,Right_Arm_Joint_4,Right_Arm_Joint_5,Right_Arm_Joint_6,Right_Arm_Joint_7,Velocity_Manipulability,Error_Position_X,Error_Position_Y,Error_Position_Z,Error_Orientation_Roll,Error_Orientation_Pitch,Error_Orientation_Yaw,Box_Position_X,Box_Position_Y,Box_Position_Z,Box_Orientation_X,Box_Orientation_Y,Box_Orientation_Z,Box_Orientation_W
-1.7672486042379154,-0.9478969572149244,2.19910652431274,-2.705919992345572,-0.870166909688167,2.242944428875044,1.285591975573799,-1.1060582520303264,0.7280942141473554,0.7760604946571268,-2.672231769625128,1.0896829203817944,2.013478350144177,-1.4301428464466373,0.008504216033959254,-0.00025974772583881034,-4.0380824806401424e-05,0.0006549421819401768,-4.446616163079747e-05,-0.0003059122331932169,-1.4345336111393897e-05,0.299922181121771,-4.558821737458249e-05,1.0999001523100735,2.2263295408178303e-05,0.0001529491558469914,-6.652309824105482e-05,0.9999999858427894
-1.7672449272625324,-0.9478922862217128,2.199091441505896,-2.705927334939706,-0.8701756942105234,2.2429259324602406,1.2855813223435228,-1.1060552952802745,0.7280873815080612,0.7760945412239719,-2.6722332106408904,1.0896947188298343,2.0134616186662444,-1.4301308229410659,0.008504249463107088,-0.0002529757268532329,0.00010549208904294863,0.0014534452016050636,-4.5397305507585897e-05,-0.0002995688613176334,2.229175650356004e-05,0.29991723393433994,-4.412128304562477e-05,1.0999008162321413,2.273140007244381e-05,0.00014977702260099063,-8.484164346981196e-05,0.9999999849260112
-1.7672419260248695,-0.9478905228904788,2.1990482778572464,-2.705937563353322,-0.8701779980313479,2.242907684119865,1.285569068895036,-1.1060523502118649,0.7280808783933697,0.7761171469161608,-2.672251555595106,1.0897046806725297,2.013445482317016,-1.430120567900815,0.008504242453420867,-0.00025323285621653424,0.0002526901870622475,0.0022516860021604135,-4.599128832466336e-05,-0.0003004883820710964,2.6591542959921534e-05,0.29991931221465284,-4.427509928215916e-05,1.0999009421284462,2.302875347311378e-05,0.00015023670826451327,-8.699159172355842e-05,0.9999999846655354
-1.7672383297306111,-0.9478856608044474,2.199033223680544,-2.70594497652654,-0.8701862496982337,2.2428889202917595,1.2855585953590543,-1.1060494226743927,0.728074200342304,0.7761511328950313,-2.672253278045912,1.0897168352464204,2.013428998424389,-1.4301087633647003,0.008504202439281804,-0.00025293298004674947,0.0003993442236960864,0.003048755058975061,-4.5301914815988125e-05,-0.000304407351059068,2.8863744657913387e-05,0.2999208298288277,-4.418042052877666e-05,1.0999014395236189,2.2684410079485412e-05,0.00015219619694133957,-8.812768516783334e-05,0.9999999842776232
-1.7672354878698675,-0.9478835275395533,2.1989900330901935,-2.705954875298947,-0.8701879113824262,2.2428701976853076,1.2855460762022481,-1.1060467161314564,0.7280679796605771,0.7761736520986268,-2.6722715035959395,1.0897279867296443,2.01341323183576,-1.430098312947961,0.008504248650876057,-0.00024205675452887432,0.0005461602794051284,0.0038456500381316427,-3.942464894826566e-05,-0.00028799860904042977,-4.350389232264689e-05,0.29991176743304954,-4.454332724614079e-05,1.0999013107515772,1.9739844015398128e-05,0.0001439927993869228,-5.1943258116727205e-05,0.9999999880891552
-1.767232164030929,-0.9478802901273726,2.198961009404928,-2.7059636454943985,-0.8701933809990863,2.242851881954574,1.2855347212152368,-1.1060437743934268,0.7280613574986518,0.7762018592052616,-2.672281440435254,1.089738803697425,2.0133968631216965,-1.4300872735656351,0.008504202285515268,-0.0002422362763095376,0.0006926686156620049,0.00464101215000956,-3.818325244750049e-05,-0.00028916990045690195,-2.5460633148195877e-05,0.299913757123965,-4.4894080906882404e-05,1.099901914601941,1.9120480522162703e-05,0.0001445783048372183,-6.096480940579562e-05,0.9999999875074065
-1.767228585557662,-0.9478755419145012,2.198946011803346,-2.705971068336835,-0.8702015951266786,2.242833120359154,1.2855242868892587,-1.106040815022547,0.7280546572175434,0.7762358503399869,-2.6722831093096335,1.0897509574736204,2.013380453819747,-1.4300755119686228,0.008504275882719254,-0.00024274065485474505,0.0008391528906430219,0.005437753968881021,-4.3487051032923424e-05,-0.00029719150916242526,-2.403111668521058e-05,0.2999160680110401,-4.5516339687307656e-05,1.0999003385004391,2.1772730480887548e-05,0.0001485889319032414,-6.168003828833835e-05,0.9999999868214252
-1.767034260715084,-0.9476748205375978,2.197119368844754,-2.7065967723673414,-0.8704985793716546,2.2421456326745726,1.284855090361277,-1.1060325578760668,0.7280470953863976,0.7762692081697389,-2.6722652481003837,1.0897594124630297,2.013263660619342,-1.4300587590003455,0.008504275739046168,-0.00036564924497589635,0.0010562623586921616,0.006146075699611231,-0.00045651814957948,-0.0005326193653652306,0.0004932649406865514,0.3000407794490862,-0.00011705935793139919,1.0999863822422058,0.00022836439752025402,0.0002662310559623749,-0.00032038560035547585,0.9999998871618906
-1.7667725447896894,-0.947427653672533,2.1949454420100363,-2.707199430754851,-0.8708490999296093,2.2414432456679743,1.2839098774465396,-1.1060168875458112,0.7280422083118626,0.7762773753300704,-2.6722157331250203,1.0895748475108924,2.012858109388092,-1.430058972889879,0.008505392689008353,-0.0006405229771488385,0.001394540500192366,0.006833858431382511,-0.0017267544287483247,-0.0012982881163261235,0.0010273587734157517,0.3003174523685792,-0.0003100666160220986,1.1000921647380584,0.0008637781024023127,0.000648631044180123,-0.0005879318380229213,0.9999992437503701
-1.7665870730218167,-0.94725490860034,2.1932860285612192,-2.7077989568921876,-0.8707149252273886,2.2412471743588545,1.2830869563008247,-1.1059995009988723,0.7280315689009134,0.7763428231230223,-2.6721401700827574,1.0893760799552477,2.0126374147171444,-1.4300559747972046,0.00850420419360634,-0.0009963773196610126,0.0017101626766734836,0.007497627798064288,-0.0028616171564668355,-0.002200991650446311,0.0025262824472646085,0.30067510223780647,-0.0004807134754892545,1.1002211603541279,0.0014322971559521354,0.0010985752363570059,-0.001338405621847974,0.9999974751606618
