Left_Arm_Joint_1,Left_Arm_Joint_2,Left_Arm_Joint_3,Left_Arm_Joint_4,Left_Arm_Joint_5,Left_Arm_Joint_6,Left_Arm_Joint_7,Right_Arm_Joint_1,Right_Arm_Joint_2,Right_Arm_Joint_3,Right_Arm_Joint_4,Right_Arm_Joint_5,Right_Arm_Joint_6,Right_Arm_Joint_7
-2.8574337382910655,0.1377841493534902,-2.8959991522320925,-2.587128974956504,-1.1307838513354573,1.2688965301298278,1.7285472255415877,-2.170501714851363,1.765177493367812,1.5369561786989039,-2.721905971603468,-0.18951052133197033,2.133553329415592,0.9682128295550736
-2.8574342948477214,0.13781540863300176,-2.89600451805494,-2.5871047088109878,-1.1307999145802234,1.2688825343483545,1.7285176198144676,-2.170498310007175,1.765176455387354,1.5369801372008554,-2.7219026156678825,-0.18949354978613098,2.1335519045660476,0.9682417055983505
-2.857436950622792,0.13784527659743123,-2.8960065306206126,-2.5870802645974216,-1.1308156257418593,1.2688671850016444,1.7284883775385644,-2.170494957718478,1.7651753307383027,1.5370043631970518,-2.7219005159531946,-0.18947681570893765,2.1335501869074145,0.9682713219853976
-2.8574418117450175,0.13787452834318287,-2.8960158127982676,-2.587056256512783,-1.13083215003773,1.268853249080275,1.7284557709825845,-2.1704915667444107,1.7651745718190803,1.5370295100040012,-2.721891407981576,-0.18946012327168432,2.133549337725929,0.9682984772557888
-2.857443860779504,0.1379041125921157,-2.8960184952522874,-2.587031799451469,-1.130847935612965,1.2688380857731487,1.7284268454454483,-2.1704881309472657,1.7651731631193774,1.5370535593313708,-2.7218891526985476,-0.18944312885263406,2.1335476978127663,0.9683275005503361
-2.8574452273394217,0.13793446482823224,-2.8960124305999297,-2.5870070227265503,-1.1308625827482681,1.2688202984461907,1.728400723899492,-2.170484770497898,1.765170020885057,1.537077070789676,-2.721894113918955,-0.18942512311401905,2.133545607947797,0.9683584844411615
-2.8574471830388917,0.1379638303007337,-2.8960153508888045,-2.5869826607193898,-1.130878292552887,1.2688051553960897,1.7283719034612952,-2.170481326291783,1.765168998644599,1.5371008222578189,-2.7218917845948276,-0.18940873080526227,2.1335439724587597,0.968387791461387
-2.8574497829697214,0.13799323260961235,-2.896017333991545,-2.5869583029443923,-1.1308938964330397,1.2687900253188407,1.7283429750299917,-2.1704778472177395,1.7651664814933385,1.5371250307946722,-2.721889644830819,-0.18939076470176272,2.1335426052951374,0.9684158735928415
-2.8574518416076526,0.13802252425467013,-2.896020189274301,-2.586933948853479,-1.130909588689306,1.268774860996491,1.7283141617484654,-2.170474380039911,1.765164953565306,1.537148869422332,-2.7218873283480223,-0.18937393005826578,2.133541081484664,0.9684447464582431
-2.857455594351338,0.138051764005618,-2.896021371330504,-2.5869096571737153,-1.1309251400609632,1.2687598971230922,1.7282853187607905,-2.170470913880821,1.7651640454057196,1.5371724589716127,-2.721885000887577,-0.18935790396790111,2.133539461417329,0.9684741894445973
-2.857457801650412,0.13808085557539845,-2.896023703613366,-2.586885372249868,-1.1309407231142914,1.268744821862207,1.7282566054826523,-2.1704674187337565,1.7651623287810243,1.5371962154799044,-2.7218827942194905,-0.1893410814286635,2.133538004316709,0.9685028840235637
-2.8574600080442534,0.1381098699863099,-2.8960263429372093,-2.5868611139869886,-1.1309562916474252,1.2687297404491364,1.7282279528874214,-2.1704639061930044,1.7651604118827575,1.5372199332539236,-2.721880474818683,-0.189324011352684,2.1335365784443585,0.968531274932397
-2.8574618226896313,0.1381388692505453,-2.8960292186945393,-2.586836909943397,-1.1309719850802726,1.2687147563692156,1.7281994380313288,-2.1704604366748965,1.7651589885273598,1.5372435712610377,-2.721878110824567,-0.18930753791646154,2.133534989994886,0.9685600139377387
-2.8574647919151017,0.13816880242222562,-2.896031419631502,-2.5868129929690324,-1.130987523505068,1.2686995244481467,1.7281706102585828,-2.17045692989373,1.7651568565002869,1.5372676034738006,-2.721876400737,-0.189290184774886,2.1335337023256566,0.9685886105075232
